商品名,カテゴリ,色,スパーク,ボディ,メーカー,産地,地名,容量,価格,小売価格,コメント,味わい,画像
小左衛門　純米　寿司ラベル,日本酒,,,,中島醸造,長野県,岐阜県,720,1500,1650 ,口に含むと香味のバランスのとれた軽やかなお米の旨み,キレの良い辛口！,
勢政宗　Omatsuri carp 　純米吟醸無濾過おりがらみ,日本酒,,,,丸世酒造店,長野県,中野市,720,1681,1849 ,オリを絡めることで生じる酸と乳酸発酵による酸が複雑味。,まりやかな旨口,
勢政宗　シルバーカープ　　　　　純米吟醸,日本酒,,,,丸世酒造店,長野県,中野市,720,1527,1680 ,スッキリとした甘みを加えた呑み飽きしないお酒。,ほんのり甘口,
浅間嶽　コスモス花酵母　　　Ｓａｋｕ－１　,日本酒,,,,大塚酒造,長野県,小諸市,720,1700,1870 ,軽く苦味を帯びながら伸びやかに　　　　　　　　キレる味わい。,すっきり辛口酒,
浅間嶽　純米吟醸　,日本酒,,,,大塚酒造,長野県,小諸市,720,1790,1969 ,さわやかな柑橘系の酸味と甘み、硬水の程よいコクをほのかな苦み,やや辛口酒,
井乃頭　純米吟醸　美山錦　ひやおろし,日本酒,,,,春日酒造㈱,長野県,伊那市,720,1930,2123 ,美山錦を使ったひやおろし。まろやかで懐かしい味。,,
浅間嶽　純米吟醸無濾過生原酒,日本酒,,,,大塚酒造㈱,長野県,小諸市,720,1800,1980 ,ミルキーな香りが穏やかに香り、やや辛口のやわらかな味わいが広がる。,やや辛口酒,
勢政宗　スプリングカープ　　　無濾過生原酒,日本酒,,,,丸世酒造店,長野県,中野市,720,1636,1800 ,長野D酵母の華やかな香りと甘み。,ほんのり甘口,
勢正宗　Ｙｅｌｌｏｗ　ｃａｒｐ,日本酒,,,,丸世酒造店,長野県,中野市,720,1550,1705 ,「旨み」「まろやかさ」に特徴を持たせた純米酒です。,,
勢正宗 おり酒 生 HAKU?,日本酒,,,,丸世酒造店,長野県,中野市,720,1409,1550 ,香りは、芳醇なタイプのお酒.従来のおり酒よりも甘すぎず、スッキリ。,すっきり甘口酒,
井乃頭　龍游　ひとごこち,日本酒,,,,春日酒造㈱,長野県,伊那市,720,2200,2420 ,華やかな香りとしっかりとした飲みごたえ！,プレミアム限定酒,
龍游　ひとごこち　無濾過生　チューリップ,日本酒,,,,春日酒造,長野県,伊那市,720,2000,2200 ,金沢酵母を使用し、春っぽい香りと味わいに仕上がっております。,ひとごこち,
黒松仙醸 純吟生 オコジョ,日本酒,,,,㈱仙醸,長野県,伊那市,720,1600,1760 ,繊細で穏やかな香り、ふくよかな旨味ある味わい,すっきり甘口酒,
作　ひやおろし　,日本酒,,,,清水清三郎商店㈱,三重県,,720,2500,2750 ,秋の瞬間の美しさを楽しむ酒。,やや辛口,
２５゜天草　特酎米製　７２０,焼酎,,,,天草酒造,熊本県,,720,1227,1350 ,爽やかでほんのり甘くフルーティーな香り。,本格米焼酎,
２５゜天草　特酎麦製　７２０,焼酎,,,,天草酒造,熊本県,,720,1090,1199 ,丁寧にもろみを造り、原料の風味が生きています。,本格麦焼酎,
２５゜池の露　芋製　　７２０,焼酎,,,,天草酒造,熊本県,,720,1327,1460 ,芳醇な香りにコクのあるどっしりとした味わいが特徴。,本格芋焼酎黒麹,
鷹栖蒸留所　レトログレートGIN　700ml,ジン,,,,Son&Heir㈱,北海道,,720,5000,5500 ,クラシカルな「ジンらしさ」古き良きジン,クラッシックGIN,
新生　天使の誘惑40°,焼酎,,,,西酒造,鹿児島県,,720,4318,4750 ,シェリー樽で10年熟成させた「新生 天使の誘惑」にリニューアル！,長期貯蔵の芋焼酎,
25°富乃宝山　芋,焼酎,,,,西酒造,鹿児島県,,720,1772,1949 ,焼酎のイメージを変えた吟醸酒のような芋焼酎！,吟醸酒のような芋,
25°一粒の麦　麦,焼酎,,,,西酒造,鹿児島県,,720,1300,1430 ,立ち香はシャープな印象、ベースに麦の香ばしさを感じます。,重厚なコクと旨味,
25°吉兆宝山　芋,焼酎,,,,西酒造,鹿児島県,,720,1772,1949 ,ガツンとパンチの効いた風味で芋焼酎好きの心をとらえます。,黒麹使用本格芋焼酎,
クラフトジン香の森,ジン,,,,養命酒（株）,駒ヶ根市,,700,727,800 ,香り立ちにこだわり、森の中にいるよう爽やかな木々の香りが楽しめます。,グラス,
鷹栖蒸留所　レトログレートGIN　200ml,ジン,,,,Son&Heir㈱,北海道,,700,2272,2499 ,クラシカルな「ジンらしさ」古き良きジン,クラッシックGIN,
シュテルンターラー　グリューワイン1000ml,ワイン,,,,ヘレンベルガー・ホーフ,ドイツ,,750,1527,1680 ,温めるだけで簡単に楽しめる冬の定番ホットワイン。,優しい味わい,
☆Ｈａｋｕｂａ　Ｂｅｅｒ,ビール,,,,Hakuba Brewing ,長野県,白馬村,330,600,660 ,ホップの爽やかな香りと軽やかな苦味に麦芽のコクも感じられる。,爽快なラガー,
☆Ｈａｋｕｂａ　Ｂｌａｃｋ,ビール,,,,Hakuba Brewing ,長野県,白馬村,330,600,660 ,コーヒーとカカオの強い風味が楽しめる。,黒ビール,
☆Ｈａｋｕｂａ　ＩＰＡ,ビール,,,,Hakuba Brewing ,長野県,白馬村,330,609,670 ,南国の果実のように芳醇なホップ使用。苦味とキレ,香りと苦みが強め！,
☆Ｈａｋｕｂａ　Ｐａｌｅ,ビール,,,,Hakuba Brewing ,長野県,白馬村,330,600,660 ,ほのかに花と柑橘類の果実の香り。,フルーティー,
Ｈａｋｕｂａ　Ａｍｂｅｒ,ビール,,,,Hakuba Brewing ,長野県,白馬村,330,600,660 ,松やスパイスのようなホップの香りを添えた。,アンバーエールです,
ミケ　リースリング2021　2022,ワイン,,,,モーゼル地方,ドイツ,ドイツ,750,1718,1890 ,飲み飽きしないフルーティーさがたまりません！ショッパー付き,やや辛口白ワイン,
ヴィラデスト・Ｗ　プリマベーラ・シャルドネ2023,ワイン,,,,ヴィラデストワイナリー,長野県,東御市,750,3100,3410 ,柑橘系や青リンゴの香りが清々しく、バランスがよく本格的な味わい,辛口ミディアム,
ヴィラデスト・Ｗ　ヴィニュロンリザーブ・シャルドネ22,ワイン,,,,ヴィラデストワイナリー,長野県,東御市,750,5000,5500 ,上質な酸味、凝縮感や余韻の長さ。新樽比率２５％,最高品質ぶどう使用,
アルプスMDV　　　　　　　　　　松本平ブラッククイーン,ワイン,,,,アルプスワイン,長野県,塩尻市,750,1536,1690 ,凝縮された果実味、そして適度な渋みが特徴のバランスの良い赤ワインです。,ミディアム赤,
L’ADORER　Multifruit　Wine　Fizz　,ワイン,,,,クロドテンリュウ,長野県,飯田市,750,2200,2420 ,日本初のマルチフルーツフィズ・アルコール度9％,ラドレー,
あさやけ　甲州オレンジワイン,ワイン,ロゼ,スティル,ライト,クロドテンリュウ,長野県,飯田市,750,5000,5500 ,澄み渡ったオレンジの色調が映えるワインです。,オレンジワイン,
メルローライト　12－3＝9％,ワイン,,,,クロドテンリュウ,長野県,飯田市,750,4300,4730 ,身体にやさしいローアルコール。旨味と苦みのバランスを追求。,ライトボディ赤,
マスカット・ベーリーA                ストリングス2023,ワイン,,,,クロドテンリュウ,長野県,飯田市,750,3800,4180 ,赤系の果実香と樽香を感じます。,ミディアムボディ赤,
ストリングス　カルトノアール2022,ワイン,,,,クロドテンリュウ,長野県,飯田市,750,4000,4400 ,複雑な香りと、まったりとしたコクをお楽しみ下さい。,ミディアムボディ赤,
Gポレール　安曇野池田　　　カベルネソーヴィニョン2017,ワイン,,,,サッポロビール,長野県,安曇野,750,4409,4850 ,力強く凝縮感あふれる日本ワイン。,フルボディ赤,
五一ワイン　塩尻マスカット　　ベリーA,ワイン,,,,五一ワイン,長野県,塩尻市,750,1545,1700 ,ソフトな酸味をもつ渋みの少ない赤ワインです。,フルーティな赤,
ドメーヌパーラー　　　　　　　　　　　　　　　　　　　　　　　　　　　ナチュールシードル自然梨,シードル,,,,仙禽,栃木県,,750,2000,2200 ,日本酒蔵仙禽が醸す梨のお酒！,?吹き出し注意?,
ペティアン・ド・マルス,ワイン,,スパークリング,,マルス山梨ワイナリー,,,750,1818,2000 ,爽快で風味豊かな味わいが気軽に楽しめる。,辛口ペティアン,
よりそいフルボディ ドライアイスワイン24,ワイン,,,,クロドテンリュウ,長野県,飯田市,750,5000,5500 ,辛口に仕上げたフルボディアイスワイン。個性的、お値打ちな一本,アイスワイン,
シャトーメルシャン長野メルロー,ワイン,,,,メルシャンワイン,山梨県,,750,4290,4719 ,心地よい酸としっかりとしたタンニンがバランスよく調和。,フルボディ赤,
SHINSHU SHE SAID ,ワイン,,,,池田町,長野県,長野県,750,3990,4389 ,侵襲を詰め込んだミード。フレンチオークで酸と旨味が調和。,ミディアムドライ,
椀子（マリコ）メルロー,ワイン,,,,マリコヴィンヤード,長野県,上田市,750,4500,4950 ,カシスなど、さまざまな果実の香りはとても豊か。,フルボディ赤,
DREAM,ワイン,,,,池田町,長野県,長野県,750,3990,4389 ,カモミールとバニラ。柔らかな甘みと余韻。,ミディアムスウィート,
TRUE HEART,ワイン,,,,池田町,長野県,長野県,750,3990,4389 ,ミントの爽快さと苦み。やさしい酸、透明感ある一本。,ミディアム,
RING　OF　FIRE,ワイン,,,,池田町,長野県,長野県,750,3990,4389 ,カラメルの苦みとはちみつの甘さ。デザートや肉料理にぴったり。,スウィート,
シャトーメルシャン　マリコV・オムニス,ワイン,,,,椀子ヴィンヤード,長野県,長野県,750,15909,17500 ,全体のテロワールを赤ワイン品種で表現する。,ラテン語で全て,
シグネチャーK　シャルドネ,ワイン,,,,有旅ワイナリー,長野市,長野市,750,4000,4400 ,グレープフルーツなどの柑橘、上品な酸と果実の綺麗な旨み。,シャルドネ100％,
安心院ワイン　アルバリーニョ下毛,ワイン,,,,安心院葡萄酒工房,大分県,,750,3463,3809 ,フレッシュで爽やかな酸味と、ほのかな苦みと塩味がアクセント,辛口白ワイン,
有旅ワイナリーシャルドネ2024,ワイン,,,,有旅ワイナリー,長野県,長野市,750,4500,4950 ,しっかりした酸の骨格と果実味の中に石灰や鉱物系のミネラル感もあり。,数量限定販売,
有旅ワイナリーモンドブリエ2024,ワイン,,,,有旅ワイナリー,長野県,長野市,750,3800,4180 ,ミュスカデ系のさわやかな香りが特徴的で、引き締まった酸が特徴。,数量限定販売,
有旅ワイナリー龍眼2024,ワイン,,,,有旅ワイナリー,長野県,長野市,750,3500,3850 ,シュール・リー製法による澱由来のほのかな苦味が特?。,数量限定販売,
ETRNAL　BLOOM,ワイン,,,,WICKED WAY MEAD,長野県,池田町,750,4181,4599 ,儚い美しさを味わう一本。チェリーの香りとミネラル感,奈良県産桜蜜使用,
TWILIGHT　FIELDS　　　　　　　　　　　　　　　　トワイライトフィールズ,ワイン,,,,WICKED WAY MEAD,長野県,池田町,750,4463,4909 ,アカシアの甘さ、ラベンダーの清涼感が重なる,アカシア×ラベンダー,
たかやしろファーム　               ピノ・ノワール,ワイン,,,,たかやしろファーム,長野県,中野市,750,1700,1870 ,ブドウのピュアな果実味と繊細な味わいが魅力の1本。,ミディアムボディ赤,
たかやしろファーム　            リースリング,ワイン,,,,たかやしろファーム,長野県,中野市,750,1700,1870 ,やや甘口で、キリっとした酸味が特徴です。,甘口白ワイン,
たかやしろファーム　              カベルネ・Ｓ　ＨＩＲＡＯＫＡ,ワイン,,,,たかやしろファーム,長野県,中野市,750,2200,2420 ,ビン熟成によるなめらかなタンニンと、程よい酸味の飲みやすい赤ワイン。,ミディアムボディ赤,
たかやしろファーム　              メルロー,ワイン,,,,たかやしろファーム,長野県,中野市,750,1700,1870 ,果実味と渋みのバランスよく飲みやすい赤ワインです。,ミディアムボディ赤,
たかやしろファーム　            ソーヴィニヨン・ブラン,ワイン,,,,たかやしろファーム,長野県,中野市,750,1700,1870 ,ほのかに香る柑橘系の香りが特徴。すっきりした辛口のワイン,辛口白ワイン,
シクロ　パシュートソーヴィニョンブラン樽発酵,ワイン,,,,シクロヴィンヤード,長野県,東御市,750,3818,4200 ,清々しい香りと爽やかな酸味,辛口白ワイン,
クロドテンリュウ・マスカットベリーA　3：1メルロ,ワイン,,,,クロドテンリュウ,長野県,飯田市,750,6363,6999 ,,2本セット商品,
クロドテンリュウ・マスカットベリーA　3：1ピノノワール,ワイン,,,,クロドテンリュウ,長野県,飯田市,750,6363,6999 ,,2本セット商品,
有旅ワイナリーメルロー2024,ワイン,,,,有旅ワイナリー,長野県,長野市,750,3800,4180 ,チェリーや赤い果実の華やかさに、控えめな青いニュアンスがアクセント。,ミディアムボディ,
ドメーヌコーセイ　メルロロゼ無添加・極辛口,ワイン,,,,ドメーヌコーセイ,長野県,片岡,750,2572,2829 ,白桃のようなフルーティーな香りや、赤系果実の香りが感じられます。,辛口ロゼワイン,
ドメーヌコーセイ　メルロ401　　桔梗2020,ワイン,,,,ドメーヌコーセイ,長野県,塩尻市,750,3300,3630 ,桔梗ヶ原地区産のメルロを100%使用し、アメリカンオークで樽育成。,フルボディ赤,
ドメーヌコーセイメルロ503塩尻,ワイン,,,,ドメーヌコーセイ,長野県,塩尻市,750,3300,3630 ,フレンチオークとアメリカンオークで樽育成したワインのブレンド。,フルボディ赤,
クロドテンリュウ　　　　　　　トライワピノノワール,ワイン,,,,クロドテンリュウ,長野県,飯田市,750,2718,2990 ,オーナー醸造家の岩田智宏氏がこだわり抜かれたピノ・ノワールです。 ,,
クロドテンリュウ　　　　　　トライワメルローカルトノワール,ワイン,,,,クロドテンリュウ,長野県,飯田市,750,3863,4249 ,樽熟成による旨味、ハイアルコールなメルローをブレンド,フルボディ,
安心院スパークリングワイン,ワイン,,,,安心院葡萄酒工房,大分県,,750,3509,3860 ,果実味とキレのある酸味やミネラル感がバランス良く感じられます。,2024部門最高賞,
クロドテンリュウ　　　　　　　　ハートtoハート,ワイン,,,,クロドテンリュウ,長野県,飯田市,750,3427,3770 ,,,
たかやまワイナリー　Ｍurayori白,ワイン,,,,たかやまワイナリー,長野県,高山村,750,2300,2530 ,爽快な酸に、レモンのような香りが合わさり、爽やかな味わい。,フレッシュな白,
たかやまワイナリー　Ｍurayori赤,ワイン,,,,たかやまワイナリー,長野県,高山村,750,2300,2530 ,丸みのある果実味でまろやかな口当たり。,ミディアムボディ,
たかやま　ラボSTW112　　　カベルネソーヴィニョン2020,ワイン,,,,たかやまワイナリー,長野県,高山村,750,4054,4459 ,新しい試みを取り入れるなどして限定的に造ったラボシリーズ。,フルボディ,
たてしなップル　蓼Ryou,ワイン,,,,たてしなップル,長野県,立科町,750,3200,3520 ,ラズベリーやサクランボなどの赤系果実の甘酸っぱい果実香。,バラの花束,
たてしなップル　Mine,ワイン,,,,たてしなップル,長野県,立科町,750,3200,3520 ,熟れた果実味が樽香と絶妙に調和する、複雑な香ばしい風味！,樽リッチ仕立て,
仙禽　DM・パーラー　　　　ナチュールシードル無添加,ワイン,,,,㈱せんきん,長野県,栃木県,750,1000,1100 ,酵母無添加製法の自然なりんごの豊かな風味!,酵母無添加製法,
ﾄﾞﾒｰﾇ･ﾕﾉﾊﾗ/ﾃﾞﾗｳｪｱ&ﾅｲｱｶﾞﾗ'25,ワイン,,,,ドメーヌドユノハラ,長野県,松本市,750,2590,2849 ,山辺地区自社園産のデラウエアとナイアガラを混醸した辛口の白ワイン,別タンクのブレンド,
バルダー果樹園　Balder　Orchard　Magodai,ワイン,,,,バルダー果樹園,長野県,上田市,750,2700,2970 ,カベルネソーヴィニョン8割カベルネ・フラン２割,古樽熟成,
バルダー果樹園　Balder　Orchard　Nakao,ワイン,,,,バルダー果樹園,長野県,上田市,750,2700,2970 ,カベルネ・フラン 89%、シラー 11%。,アルカンビーニュ,
バルダー果樹園/ワイン２０２３,ワイン,,,,バルダー果樹園,長野県,上田市,750,,0 ,果実の香りと赤ワインらしい渋みが特徴のミディアムボディの赤ワイン,CF49%CS42%シラー8%,
ファンキーシャトーシャルドネ2023,ワイン,,,,ファンキーシャトー,長野県,青木村,750,6000,6600 ,凛とした酸と優しく微かなオーク樽の香りが複雑に絡み合う,数量限定品,ファンキーシャルドネ.jpg
ファンキーシャトー・ルージュ2022,ワイン,,,,ファンキーシャトー,長野県,青木村,750,4200,4620 ,まろやかなタンニンが調和し、若いうちから楽しめる自然派ワイン,メルロー100％,
ファンキーシャトー　　　　ラ・プルミエールカベルネS20,ワイン,,,,ファンキーシャトー,長野県,青木村,750,7500,8250 ,長い熟成によってしなやかになったタンニン。長熟に耐える,数量限定品,
ファンキー・シャトー　ピノ・グリ,ワイン,,,,ファンキーシャトー,長野県,青木村,750,4000,4400 ,熟れた桃の香りに、心地良い果皮の苦味が感じられます。,ピノグリ白,
のらのらファーム　ナイヤガラ　ドライ,ワイン,,,,はすみファーム,長野県,東御市,750,1818,2000 ,フルーティーさと、しっかり酸があるのが特徴です。,華やかな香り,
はすみふぁーむ/千曲川ﾜｲﾝﾊﾞﾚｰ ｼｬﾙﾄﾞﾈ'23,ワイン,,,,のらのらふぁーむ＆ワイナリー,長野県,東御市,750,3654,4019 ,熟したリンゴやゆずピール、パイのような香ばしさと豊かな果実味,良ビンテージ,
ファンキー・シャトー 　　　　　　　　　　ｽﾄﾗﾄ・ｷｬｯｾ,ワイン,,,,ファンキー・シャトー,長野県,青木村,750,6000,6600 ,トロピカルに酸が相まり、妖艶なセミヨンの魅力を堪能いただけます,入手困難！,
ファンキーシャトー・ブラン2023,ワイン,,,,ファンキーシャトー,長野県,青木村,750,4300,4730 ,冷涼で美しい自然を感じさせる清々しい Chardonnay 100% ワイン,シャルドネ100％,Funky Blanc.jpg
ファンキーシャトー　　　　　　　　　　　　　　　　La premi?re fois 50 & 50 2021,ワイン,,,,ファンキーシャトー,長野県,青木村,750,6500,7150 ,柔らかい甘み、熟成によるしなやかなタンニンがストラクチャー形成。,CS60%、CF40%,
ぼーのふぁーむ　クラッシックシャルドネ,ワイン,,,,ぼーのふぁーむ,長野県,安曇野市,750,3200,3520 ,柑橘系の香りと熟成感が感じられるやさしい味わいです。,辛口白ワイン,
はすみふぁーむ/千曲川ﾜｲﾝﾊﾞﾚｰ ｶﾍﾞﾙﾈﾌﾗﾝ'24,ワイン,,,,のらのらふぁーむ＆ワイナリー,長野県,東御市,750,3545,3900 ,優しく包み込むような酸と、なめらかなタンニン。,旧はすみファーム,
はすみふぁーむ　ナイアガラ・ドライ　ヌーボー,ワイン,,,,のらのらふぁーむ＆ワイナリー,長野県,東御市,750,1636,1800 ,バナナのような香りが濃厚に広がり、フレッシュで瑞々しい,まるでジュース,
メルシャン　マリコのあわ　　　　Ｂｒｕｔ,ワイン,,,,マリコヴィンヤード,長野県,上田市,750,2954,3249 ,豊かな果実感ときめ細かい泡がバランスよく感じられます。,辛口スパークリング,
マリコ　シャルドネ・　　　　　　　　　ソーヴィニヨンブラン,ワイン,,,,上田市,長野県,長野県,750,3027,3330 ,甘酸っぱい果実とハチミツなどの香りが広がり、酸味と豊かな果実感,長野県限定,
シャトーメルシャン　　　　　北信シャルドネ　リヴァリス,ワイン,,,,シャトーメルシャン,長野県,長野県,750,6063,6669 ,パイナップルなど南国の果実の香り、豊かな酸が香りと調和。,辛口白ワイン,
TK酒折　甲州プレミアム,ワイン,,,,シャトー酒折,山梨県,山梨県,750,2190,2409 ,特別なブドウで醸した割柑橘の香りをまとう凛とした辛口ヌーヴォー,酸と果実味,
TK酒折　甲州にごり,ワイン,,,,シャトー酒折,山梨県,山梨県,750,1754,1929 ,豊かな甘味とフレッシュで　　　　　　　　飲みやすいにごりワイン,やや甘口,
フロムファーム　　　　　　　　　　塩尻メルロロゼ,ワイン,,,,フロムファーム,長野県,塩尻市,750,3000,3300 ,柑橘系のフレッシュな香りと　　　　　　　　　みずみずしい果実味,辛口ロゼ,
Gio'Hills/Cam on ｼｬﾙﾄﾞﾈ'24,ワイン,,,,Gio'Hills,長野県,小諸市,750,3200,3520 ,柑橘系のシトラスやナッツの香り。穏やかな酸。,しっかり樽熟成,
Gio'Hills/Mimakigahara_C,ワイン,,,,Gio'Hills,長野県,小諸市,750,5500,6050 ,DWWA2025ブロンズ獲得。はちみつやライチなどの甘い香り,トロピカル,
Gio'Hills/Huong thom Rouge(ﾌｫﾝ･ﾄﾑ･ﾙｰｼﾞｭ)'23,ワイン,,,,Gio'Hills,長野県,小諸市,750,3500,3850 ,胡椒やシナモン、クローブ、土の香りなど、複雑な香り,軽く冷やして,
ｷﾘﾉｶｳﾞｨﾝﾔｰｽﾞ&ﾜｲﾅﾘｰ/杜音ﾗ･ｺﾞｯﾁｬ ｼｬﾙﾄﾞﾈ/ﾋﾟﾉﾉﾜｰﾙﾛｾﾞBr,ワイン,,,,ｷﾘﾉｶｳﾞｨﾝﾔｰｽﾞ&ﾜｲﾅﾘｰ,長野県,辰野町,750,3200,3520 ,仄かな赤いベリー調の風味と キレの良い酸味,辛口スパークリングロゼ,
ｷﾘﾉｶｳﾞｨﾝﾔｰｽﾞ&ﾜｲﾅﾘｰ/ﾄﾞﾒｰﾇ･ｷﾘﾉｶ 小野ｼｬﾙﾄﾞﾈ'25,ワイン,,,,ｷﾘﾉｶｳﾞｨﾝﾔｰｽﾞ&ﾜｲﾅﾘｰ,長野県,辰野町,750,3500,3850 ,ライトボディのフレッシュな果実味とライム調の酸味,北小野地区ブドウ100％,
ｷﾘﾉｶｳﾞｨﾝﾔｰｽﾞ&ﾜｲﾅﾘｰ/ﾄﾞﾒｰﾇ･ｷﾘﾉｶ 小野ﾙｰｼﾞｭ'25,ワイン,,,,ｷﾘﾉｶｳﾞｨﾝﾔｰｽﾞ&ﾜｲﾅﾘｰ,長野県,辰野町,750,3500,3850 ,スパイシーさと生き生きとした酸,ピノ66%、ツヴァイ34%,
ｷﾘﾉｶｳﾞｨﾝﾔｰｽﾞ&ﾜｲﾅﾘｰ/ﾒｿﾞﾝ･ﾄﾞ･ｷﾘﾉｶ ｼｬﾙﾄﾞﾈ ｷｭｳﾞｪHakuo,ワイン,,,,ｷﾘﾉｶｳﾞｨﾝﾔｰｽﾞ&ﾜｲﾅﾘｰ,長野県,辰野町,750,9900,10890 ,極めて少量の実で醸造。熟成させたミディアムボディで複雑な味わい,新樽フランスオーク発酵,
キリノカヴィンヤード＆ワイナリー　ピノノワールキュヴェ　善知鳥,ワイン,,,,ｷﾘﾉｶｳﾞｨﾝﾔｰｽﾞ&ﾜｲﾅﾘｰ,長野県,辰野町,750,6000,6600 ,ラズベリーの風味にモカコーヒー調の風味と、イキイキとした酸味,自社畑産ピノ・ノワール,
キリノカヴィンヤード＆ワイナリー　M.D　リースリング,ワイン,,,,ｷﾘﾉｶｳﾞｨﾝﾔｰｽﾞ&ﾜｲﾅﾘｰ,長野県,辰野町,750,5000,5500 ,M.D.ヴィンヤードは片丘の西向き傾斜で、火山灰堆積礫土壌,辛口ミディアム,
ﾊｾ･ﾄﾞ･ｺﾀﾞﾜｰﾙ ﾜｲﾅﾘｰ/CASTLE ｼｬﾙﾄﾞﾈ'24,ワイン,,,,ﾊｾ･ﾄﾞ･ｺﾀﾞﾜｰﾙ ﾜｲﾅﾘｰ,長野県,松本市,750,3300,3630 ,"上品なミネラルとふくよかさ,柑橘系や蜜を思わせる、穏やかな酸味",松本城がモチーフ,
ﾊｾ･ﾄﾞ･ｺﾀﾞﾜｰﾙ ﾜｲﾅﾘｰ/CASTLE ﾘｰｽﾘﾝｸﾞ'25,ワイン,,,,ﾊｾ･ﾄﾞ･ｺﾀﾞﾜｰﾙ ﾜｲﾅﾘｰ,長野県,松本市,750,3300,3630 ,爽やか酸味とドイツ系ワインの独特の風味をめざした白ワイン,完熟ぶどう使用,
マンズ　ソラリス　ユヴェンタ2020,ワイン,,,,マンズワイン,長野県,小諸市,750,3600,3960 ,やさしい味わいで若いうちから楽しめるソラリス！,生き生きとした酸味,
マンズ　ソラリス　千曲川　　　シャルドネ樽仕込2022,ワイン,,,,マンズワイン,長野県,小諸市,750,4954,5449 ,繊細な果実味と適度な樽香のバランスの良いワイン！,旨味を伴った余韻,
マンズ　ソラリス　小諸シャルドネ　ヴィエイユ・ヴィーニュ,ワイン,,,,小諸,長野県,長野県,750,9000,9900 ,マンズワイン最高のシャルドネ。カリンやアプリコット,40年古木,
ソラリス　千曲川　　　　　　カベルネソーヴィニョン,ワイン,,,,マンズワイン,長野県,小諸市,750,4836,5320 ,果実の華やかな香りが心地よく、長期熟成のポテンシャルを持ち合わせている,フルボディ赤,
大和葡萄酒　十二原　メルロー　７２０,ワイン,,,,大和葡萄酒,長野県,松本市,750,2290,2519 ,しっかりしたボディーの中にメルロー種の優しさが表現されたワインです。,フルボディ赤,
マンズ　ソラリス　千曲川　　　シャルドネ2024,ワイン,,,,マンズワイン,長野県,小諸市,750,3781,4159 ,ソラリスの原点となる小諸産シャルドネ100%の白,フレッシュな柑橘類,
マンズ　ソラリス　ル・シエル2022,ワイン,,,,マンズワイン,長野県,小諸市,750,5545,6100 ,３品種のぶどうを一緒に搾って発酵させる “混醸”と呼ばれる製法で造りました。,すっきり辛口,
マンズ　ソラリス　ラクロワ2021,ワイン,,,,マンズワイン,長野県,小諸市,750,5850,6435 ,カシスやブラックベリーなどの黒い果実のアロマ。,フルボディ,
楠ワイナリー　ピノ・ノワール　　2021,ワイン,,,,楠ワイナリー,長野県,須坂市,750,3654,4019 ,旨味やスパイス感が豊かに感じられる、エレガントなワインです。,ミディアムボディ,
リュードヴァン　カベルネソーヴィニョン,ワイン,,,,リュードヴァン,長野県,東御市,750,5000,5500 ,新鮮なベリー系の果実と胡椒などのスパイスの香り,フルボディ赤,
楠ワイナリー　吉祥シャルドネスパークリング,ワイン,,,,楠ワイナリー,長野県,須坂市,750,5100,5610 ,複数ヴィンテージをブレンド。驚異の60カ月以上熟成,本格辛口スパークリング,
リュード・ヴァン　　　　　　　　　ヴァン・ムスー　スペシャル,ワイン,,,,リュード・ヴァン,長野県,東御市,750,8000,8800 ,シャンパーニュ製法による本格派。　　　エレガントな味わい,自信作,
リュードヴァン・　　　　　　　　ソーヴィニョンブラン2024,ワイン,,,,リュードヴァン,長野県,東御市,750,5000,5500 ,世界のソーヴィニョンブランと比べてもトップクラス！,辛口白ワイン,
ル・ミリュウ　ポラリス　　　　ピノ・グリ　2022,ワイン,,,,ル・ミリュウ,長野県,安曇野市,750,4000,4400 ,穏やかな酸味と相まってスルスルと飲めるワイン。,フルーティーな白,
リュード・ヴァン　メルロ　2022,ワイン,,,,リュードヴァン,長野県,東御市,750,5000,5500 ,果実感と酸味を持ち、芯の通った印象の素晴らしいワイン！,メルロー赤,
リュード・ヴァン　Trio（トリオ）　2022,ワイン,,,,リュード・ヴァン,長野県,東御市,750,5500,6050 ,CF/Me/CSの3つの品種による心地の良いハーモニー,ボルドー系赤ワイン,
ル・ミリュウ　ポラリス　　　　シラーバレル　2022,ワイン,,,,ル・ミリュウ,長野県,安曇野市,750,4000,4400 ,香りは控えめな赤果実味。程よいタンニンと優しめな酸。,ミディアムボディ赤,
リュード・ヴァン　　　　　　　ドゥー・ロープヴィオレット,ワイン,,,,リュード・ヴァン,長野県,東御市,750,5000,5500 ,凛とした酸味とスパイシーな香り。　　　メルロが主体,二つの紫色のドレス,
VinVieヴァンヴィ・カベルネフラン樽熟成,ワイン,,,,VinVie ヴァンヴィ,長野県,松川町,750,3600,3960 ,プルーンやプラムといった黒い果実の香りに、ほんのりハーブの香り。,フルーティーな赤,
ヴァンヴィ・プティ・マンサン醸し,ワイン,,,,VinVie ヴァンヴィ,長野県,松川町,750,3800,4180 ,生き生きとした酸とわずかな苦みが余韻まで長く続きます。,スッキリ辛口,
ヴァンヴィ                                 ソーヴィニョンブラン,ワイン,,,,VinVie ヴァンヴィ,長野県,松川町,750,3200,3520 ,ピーチや洋梨、ハーブの香りとともに、心地よい酸味と爽やかな味わい。,心地よいハーブ香,
