商品名,カテゴリ,色,スパーク,ボディ,メーカー,産地,地名,容量,価格,小売価格,コメント,味わい,画像
月の輪　金山熟成　純米　秋あがり,日本酒,,,,有限会社月の輪酒造店,長野県,岩手県,720,1400,1540 ,豊かな米の旨味と、酸味が特徴です。秋の料理との相性が良い。,旨辛口！,
澤の花　純米大吟醸　満ち月,日本酒,,,,伴野酒造㈱,長野県,佐久市,720,1800,1980 ,上品でバランスの良い秋の熟成純米大吟醸,穏やかな香り,
澤の花　ボー・ミッシェル　BLISS,日本酒,,,,伴野酒造㈱,長野県,佐久市,720,2954,3249 ,仕込み水の代わりに、Beau Michelleを使用して仕込んだ貴醸酒,甘酸っぱいフルーティ,
◆【限】月の輪　新米新酒　純米生原酒　720,日本酒,,,,有限会社月の輪酒造店,長野県,岩手県,720,1390,1529 ,穏やかな香りと、フレッシュできれいな甘み。,新酒第一弾！,
つきよしの華　純米吟醸　　　ひとごこち,日本酒,,,,若林醸造㈱,長野県,上田市,720,1800,1980 ,上品な甘みと透明感たっぷりの酸のバランスが絶妙です。,優しい旨口酒,
◆立山　吟醸　生貯蔵　720,日本酒,,,,立山酒造㈱,長野県,富山県,720,1900,2090 ,優しい旨みとスッキリな喉越しがバランス良く調和する上品な味,まるで果実のよう,
真澄　MIYASAKA　愛山　純吟　,日本酒,,,,宮坂醸造㈱,長野県,諏訪市,720,2100,2310 ,愛山という希少な米を使った味わい豊かな純米吟醸酒。,,
井乃頭　純米酒　八反錦59,日本酒,,,,春日酒造㈱,長野県,伊那市,720,1760,1936 ,丸みを帯びた?み口です。穏やかな香りで、優しい味わいの純米酒。,,
井乃頭　純米　無濾過生　　　　ひとごこち,日本酒,,,,春日酒造㈱,長野県,伊那市,720,1600,1760 ,おだやかな口あたりで豊かな風味を感じるキレのある味わい,すっきりやや辛口,
つきよしの　桜　　　　　　　純米無濾過生原酒,日本酒,,,,若林醸造㈱,長野県,上田市,720,1654,1819 ,優しい甘みとキリッとした酸味が心地良い一本,ほんのり甘口,
大信州　仕込み三十一号　　　　生原酒,日本酒,,,,大信州酒造㈱,長野県,松本市,720,2300,2530 ,うすにごりならではの米由来のふくよかな香り。,すっきり辛口酒,
大信州　仕込43号　純米大吟醸生,日本酒,,,,大信州酒造㈱,長野県,松本市,720,5000,5500 ,丹精込めて作り上げた鑑評会出品酒です。,鑑評会出品酒,
月の輪　　　　　　　　　　　　　　純米吟醸しぼりたて,日本酒,,,,有限会社月の輪酒造店,長野県,岩手,720,1650,1815 ,フレッシュな香りとクリアな甘み、しっかりとした骨格が感じられる,新酒,
本金　山廃純米　火入れ,日本酒,,,,酒ぬのや本金酒造㈱,長野県,諏訪市,720,1727,1900 ,金木犀の香り　　　　　　　　　　　酸と程よくジューシーな旨み,冷酒から燗まで,
本金　純米山恵錦　　　　　　無濾過生原酒,日本酒,,,,酒ぬのや本金酒造㈱,長野県,諏訪市,720,1654,1819 ,ジューシーな酸と柔らかな甘みのバランスが綺麗な味わいです。,ほんのり甘口,
仙禽?UA　スネーク　　　　（貴醸酒にごり）,日本酒,,,,㈱せんきん,栃木県,,720,3681,4049 ,年内最後の貴醸酒?にごり酒の新年を迎える祝い酒です♪,搾りたて生,
仙禽モダン　壱式（火入）　　　　７２０,日本酒,,,,せんきん,栃木県,,720,1609,1770 ,酒米を山田錦に、製造方法を生?に統一し、搾りたてをそのまま瓶詰め。,すっきり甘口酒,
仙禽クラシック　壱式火入れ,日本酒,,,,㈱せんきん,栃木県,,720,2000,2200 ,亀の尾が持つワイルドさ・厚みはありつつも、スッと軽く消えてゆく余韻,あくなき日常への回帰,
仙禽クラシック　弐式生酒,日本酒,,,,(株）せんきん,栃木県,,720,2000,2200 ,古代米亀の尾と山田錦を使用。　　　　　　弐式の生酒,無濾過生原酒,
仙禽レトロ　壱式火入れ,日本酒,,,,㈱せんきん,栃木県,,720,2000,2200 ,レトロは原料米を雄町とし、まるで20年前を想わせる甘酸っぱい仙禽,甘酸っぱさを楽しむ,
仙禽モダン　　弐式オリガラミ生酒,日本酒,,,,㈱せんきん,栃木県,,720,2000,2200 ,開けた瞬間、笑顔が弾ける                                            特別な一本！心躍るおりがらみ♪,微発泡,
愛国仙禽?鳳凰美田,日本酒,,,,㈱せんきん,栃木県,,720,2700,2970 ,小林酒造さんとのコラボレーション作品！古代品種「愛国3号」使用。,数量限定販売,
仙禽クラシック弐式オリガラミ　火入れ,日本酒,,,,㈱せんきん,栃木県,,720,2000,2200 ,柔らかな甘みに包まれた、しなやかで豊かな酸が特徴です。,ほんのり甘口,
仙禽　裏線香花火オリガラミ2025,日本酒,,,,㈱せんきん,栃木県,,720,1772,1949 ,仙禽の新しい味わいをぜひお楽しみください。,ほんのり甘口,
仙禽　モダン　参式発泡原酒,日本酒,,,,株式会社　せんきん,栃木県,,720,2000,2200 ,にごりのミルキーな風味と　　　　　梨を思わせる複雑な果実感,シュワシュワミルキー,
仙禽×UA貴醸酒　　　　　　　　干支シリーズうま,日本酒,,,,せんきん,栃木県,,720,3600,3960 ,完熟の梨をかじったようなジューシーな甘味と軽快な発泡感！,貴醸酒,
仙禽UAコレクション　　　　　　　　江戸樽酒,日本酒,,,,㈱せんきん,栃木県,,720,5000,5500 ,新時代の樽酒の誕生です。                      江戸生もとの進化。,新しい景色,
つきよしの　緑　無濾過生原酒,日本酒,,,,若林醸造㈱,長野県,上田市,720,1754,1929 ,青いメロンのような香りですっきり甘口。綺麗な酸味の日本酒。,ほんのり甘口,
つきよしの　華　ひとごこち　純米吟醸　火入れ,日本酒,,,,若林醸造㈱,長野県,上田市,720,1750,1925 ,昨年蔵元限定商品。　　　　　　　　　　香り華やかに仕上げました。,若干シャープ,
つきよしの　紫　無濾過生原酒,日本酒,,,,若林醸造,長野県,上田市,720,1900,2090 ,マスカットのフルーティーな酸と、柔らかな旨味がバランス広がります,山田錦,
つきよしの　蛍　無濾過生原酒,日本酒,,,,若林醸造,長野県,上田市,720,1454,1599 ,長い夏を楽しめるよう、低アルコールの純米酒。爽やかな香りと酸味,7号酵母,
仙禽　モダン　肆式(貴醸酒),日本酒,,,,せんきん,栃木県,,720,2554,2809 ,香り、甘み、酸味が奏でる、　　　　　　洗練された貴醸酒の世界,山田錦１００％,
菊姫　山廃純米　720ml,日本酒,,,,菊姫(合),石川県,,720,1420,1562 ,力強い酸味と米の旨味が相まって、豊かなコクあり。,好きな人にはたまらない,
菊姫　純米　先一杯　720ml,日本酒,,,,菊姫(合),石川県,,720,1220,1342 ,柔らかく優しい口当たりで爽やかな味わい。,食中酒オールラウンダー,
御湖鶴　純米吟醸ひとごこち　　　火入れ,日本酒,,,,御湖鶴酒造,長野県,諏訪市,720,1800,1980 ,まろやかでふくらみのある味わいが特徴です。,食中酒にオススメ！,
御湖鶴　純米吟醸　金紋錦　720,日本酒,,,,諏訪御湖鶴酒造場,長野県,下諏訪町,720,2400,2640 ,独特な深みとふくらみ、幅のある味わいと香りが楽しめます。,幻の酒米金紋錦で醸す,
御湖鶴　純米辛口　おりがらみ,日本酒,,,,御湖鶴酒造,長野県,諏訪市,720,1800,1980 ,炭酸ガスを感じるフレッシュ感と　　　　　おりの旨味を感じます,新酒,
